id,location_code,name,description,location_type,parent_location_id,building,floor,room,address,city,state,zip_code,country,gps_coordinates,contact_person,contact_phone,contact_email,operating_hours,timezone,created_date
TRUE,TF-FAC-001,TechFlow Main Manufacturing Facility,TechFlow Main Manufacturing Facility,Manufacturing Facility,,,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
2,TF-FAC-001-PRO01,Production Building A,Production Building A at TechFlow Main Manufacturing Facility,Building,TRUE,Production Building A,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
3,TF-FAC-001-PRO01-FLO01,Production Building A - Floor 1,Floor 1 of Production Building A,Floor,2,Production Building A,Floor 1,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
4,TF-FAC-001-PRO01-FLO01-LIN01,Production Building A - Floor 1 - Line 1,Line 1 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 1,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
5,TF-FAC-001-PRO01-FLO01-LIN02,Production Building A - Floor 1 - Line 2,Line 2 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 2,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
6,TF-FAC-001-PRO01-FLO01-LIN03,Production Building A - Floor 1 - Line 3,Line 3 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 3,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
7,TF-FAC-001-PRO01-FLO01-LIN04,Production Building A - Floor 1 - Line 4,Line 4 in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Line 4,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
8,TF-FAC-001-PRO01-FLO01-QUA05,Production Building A - Floor 1 - Quality Station,Quality Station in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Quality Station,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
9,TF-FAC-001-PRO01-FLO01-MAI06,Production Building A - Floor 1 - Maintenance Shop,Maintenance Shop in Floor 1 of Production Building A,Room,3,Production Building A,Floor 1,Maintenance Shop,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
10,TF-FAC-001-PRO01-FLO02,Production Building A - Floor 2,Floor 2 of Production Building A,Floor,2,Production Building A,Floor 2,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
11,TF-FAC-001-PRO01-FLO02-LIN01,Production Building A - Floor 2 - Line 1,Line 1 in Floor 2 of Production Building A,Room,10,Production Building A,Floor 2,Line 1,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
12,TF-FAC-001-PRO01-FLO02-LIN02,Production Building A - Floor 2 - Line 2,Line 2 in Floor 2 of Production Building A,Room,10,Production Building A,Floor 2,Line 2,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
13,TF-FAC-001-PRO01-FLO02-LIN03,Production Building A - Floor 2 - Line 3,Line 3 in Floor 2 of Production Building A,Room,10,Production Building A,Floor 2,Line 3,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
14,TF-FAC-001-PRO01-FLO02-LIN04,Production Building A - Floor 2 - Line 4,Line 4 in Floor 2 of Production Building A,Room,10,Production Building A,Floor 2,Line 4,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
15,TF-FAC-001-PRO01-FLO02-QUA05,Production Building A - Floor 2 - Quality Station,Quality Station in Floor 2 of Production Building A,Room,10,Production Building A,Floor 2,Quality Station,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
16,TF-FAC-001-PRO01-FLO02-MAI06,Production Building A - Floor 2 - Maintenance Shop,Maintenance Shop in Floor 2 of Production Building A,Room,10,Production Building A,Floor 2,Maintenance Shop,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
17,TF-FAC-001-PRO02,Production Building B,Production Building B at TechFlow Main Manufacturing Facility,Building,TRUE,Production Building B,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
18,TF-FAC-001-PRO02-FLO01,Production Building B - Floor 1,Floor 1 of Production Building B,Floor,17,Production Building B,Floor 1,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
19,TF-FAC-001-PRO02-FLO01-LIN01,Production Building B - Floor 1 - Line 1,Line 1 in Floor 1 of Production Building B,Room,18,Production Building B,Floor 1,Line 1,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
20,TF-FAC-001-PRO02-FLO01-LIN02,Production Building B - Floor 1 - Line 2,Line 2 in Floor 1 of Production Building B,Room,18,Production Building B,Floor 1,Line 2,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
21,TF-FAC-001-PRO02-FLO01-LIN03,Production Building B - Floor 1 - Line 3,Line 3 in Floor 1 of Production Building B,Room,18,Production Building B,Floor 1,Line 3,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
22,TF-FAC-001-PRO02-FLO01-LIN04,Production Building B - Floor 1 - Line 4,Line 4 in Floor 1 of Production Building B,Room,18,Production Building B,Floor 1,Line 4,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
23,TF-FAC-001-PRO02-FLO01-QUA05,Production Building B - Floor 1 - Quality Station,Quality Station in Floor 1 of Production Building B,Room,18,Production Building B,Floor 1,Quality Station,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
24,TF-FAC-001-PRO02-FLO01-MAI06,Production Building B - Floor 1 - Maintenance Shop,Maintenance Shop in Floor 1 of Production Building B,Room,18,Production Building B,Floor 1,Maintenance Shop,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
25,TF-FAC-001-PRO02-FLO02,Production Building B - Floor 2,Floor 2 of Production Building B,Floor,17,Production Building B,Floor 2,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
26,TF-FAC-001-PRO02-FLO02-LIN01,Production Building B - Floor 2 - Line 1,Line 1 in Floor 2 of Production Building B,Room,25,Production Building B,Floor 2,Line 1,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
27,TF-FAC-001-PRO02-FLO02-LIN02,Production Building B - Floor 2 - Line 2,Line 2 in Floor 2 of Production Building B,Room,25,Production Building B,Floor 2,Line 2,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
28,TF-FAC-001-PRO02-FLO02-LIN03,Production Building B - Floor 2 - Line 3,Line 3 in Floor 2 of Production Building B,Room,25,Production Building B,Floor 2,Line 3,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
29,TF-FAC-001-PRO02-FLO02-LIN04,Production Building B - Floor 2 - Line 4,Line 4 in Floor 2 of Production Building B,Room,25,Production Building B,Floor 2,Line 4,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
30,TF-FAC-001-PRO02-FLO02-QUA05,Production Building B - Floor 2 - Quality Station,Quality Station in Floor 2 of Production Building B,Room,25,Production Building B,Floor 2,Quality Station,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
31,TF-FAC-001-PRO02-FLO02-MAI06,Production Building B - Floor 2 - Maintenance Shop,Maintenance Shop in Floor 2 of Production Building B,Room,25,Production Building B,Floor 2,Maintenance Shop,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
32,TF-FAC-001-ENG03,Engineering Building,Engineering Building at TechFlow Main Manufacturing Facility,Building,TRUE,Engineering Building,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
33,TF-FAC-001-ENG03-FLO01,Engineering Building - Floor 1,Floor 1 of Engineering Building,Floor,32,Engineering Building,Floor 1,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
34,TF-FAC-001-ENG03-FLO01-ROO01,Engineering Building - Floor 1 - Room 101,Room 101 in Floor 1 of Engineering Building,Room,33,Engineering Building,Floor 1,Room 101,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
35,TF-FAC-001-ENG03-FLO01-ROO02,Engineering Building - Floor 1 - Room 102,Room 102 in Floor 1 of Engineering Building,Room,33,Engineering Building,Floor 1,Room 102,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
36,TF-FAC-001-ENG03-FLO01-ROO03,Engineering Building - Floor 1 - Room 103,Room 103 in Floor 1 of Engineering Building,Room,33,Engineering Building,Floor 1,Room 103,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
37,TF-FAC-001-ENG03-FLO01-CON04,Engineering Building - Floor 1 - Conference Room,Conference Room in Floor 1 of Engineering Building,Room,33,Engineering Building,Floor 1,Conference Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
38,TF-FAC-001-ENG03-FLO01-BRE05,Engineering Building - Floor 1 - Break Room,Break Room in Floor 1 of Engineering Building,Room,33,Engineering Building,Floor 1,Break Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
39,TF-FAC-001-ENG03-FLO02,Engineering Building - Floor 2,Floor 2 of Engineering Building,Floor,32,Engineering Building,Floor 2,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
40,TF-FAC-001-ENG03-FLO02-ROO01,Engineering Building - Floor 2 - Room 101,Room 101 in Floor 2 of Engineering Building,Room,39,Engineering Building,Floor 2,Room 101,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
41,TF-FAC-001-ENG03-FLO02-ROO02,Engineering Building - Floor 2 - Room 102,Room 102 in Floor 2 of Engineering Building,Room,39,Engineering Building,Floor 2,Room 102,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
42,TF-FAC-001-ENG03-FLO02-ROO03,Engineering Building - Floor 2 - Room 103,Room 103 in Floor 2 of Engineering Building,Room,39,Engineering Building,Floor 2,Room 103,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
43,TF-FAC-001-ENG03-FLO02-CON04,Engineering Building - Floor 2 - Conference Room,Conference Room in Floor 2 of Engineering Building,Room,39,Engineering Building,Floor 2,Conference Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
44,TF-FAC-001-ENG03-FLO02-BRE05,Engineering Building - Floor 2 - Break Room,Break Room in Floor 2 of Engineering Building,Room,39,Engineering Building,Floor 2,Break Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
45,TF-FAC-001-ADM04,Administration Building,Administration Building at TechFlow Main Manufacturing Facility,Building,TRUE,Administration Building,,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
46,TF-FAC-001-ADM04-FLO01,Administration Building - Floor 1,Floor 1 of Administration Building,Floor,45,Administration Building,Floor 1,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
47,TF-FAC-001-ADM04-FLO01-ROO01,Administration Building - Floor 1 - Room 101,Room 101 in Floor 1 of Administration Building,Room,46,Administration Building,Floor 1,Room 101,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
48,TF-FAC-001-ADM04-FLO01-ROO02,Administration Building - Floor 1 - Room 102,Room 102 in Floor 1 of Administration Building,Room,46,Administration Building,Floor 1,Room 102,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
49,TF-FAC-001-ADM04-FLO01-ROO03,Administration Building - Floor 1 - Room 103,Room 103 in Floor 1 of Administration Building,Room,46,Administration Building,Floor 1,Room 103,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
50,TF-FAC-001-ADM04-FLO01-CON04,Administration Building - Floor 1 - Conference Room,Conference Room in Floor 1 of Administration Building,Room,46,Administration Building,Floor 1,Conference Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
51,TF-FAC-001-ADM04-FLO01-BRE05,Administration Building - Floor 1 - Break Room,Break Room in Floor 1 of Administration Building,Room,46,Administration Building,Floor 1,Break Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
52,TF-FAC-001-ADM04-FLO02,Administration Building - Floor 2,Floor 2 of Administration Building,Floor,45,Administration Building,Floor 2,,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
53,TF-FAC-001-ADM04-FLO02-ROO01,Administration Building - Floor 2 - Room 101,Room 101 in Floor 2 of Administration Building,Room,52,Administration Building,Floor 2,Room 101,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
54,TF-FAC-001-ADM04-FLO02-ROO02,Administration Building - Floor 2 - Room 102,Room 102 in Floor 2 of Administration Building,Room,52,Administration Building,Floor 2,Room 102,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
55,TF-FAC-001-ADM04-FLO02-ROO03,Administration Building - Floor 2 - Room 103,Room 103 in Floor 2 of Administration Building,Room,52,Administration Building,Floor 2,Room 103,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
56,TF-FAC-001-ADM04-FLO02-CON04,Administration Building - Floor 2 - Conference Room,Conference Room in Floor 2 of Administration Building,Room,52,Administration Building,Floor 2,Conference Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
57,TF-FAC-001-ADM04-FLO02-BRE05,Administration Building - Floor 2 - Break Room,Break Room in Floor 2 of Administration Building,Room,52,Administration Building,Floor 2,Break Room,"1250 Industrial Blvd, Austin, TX 78744",Austin,TX,78744,USA,,,,,,America/Chicago,2025-09-28 18:38:15
58,TF-FAC-002,TechFlow Assembly & Testing Center,TechFlow Assembly & Testing Center,Assembly Facility,,,,,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
59,TF-FAC-002-ASS01,Assembly Hall,Assembly Hall at TechFlow Assembly & Testing Center,Building,58,Assembly Hall,,,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
60,TF-FAC-002-ASS01-FLO01,Assembly Hall - Floor 1,Floor 1 of Assembly Hall,Floor,59,Assembly Hall,Floor 1,,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
61,TF-FAC-002-ASS01-FLO01-STA01,Assembly Hall - Floor 1 - Station A,Station A in Floor 1 of Assembly Hall,Room,60,Assembly Hall,Floor 1,Station A,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
62,TF-FAC-002-ASS01-FLO01-STA02,Assembly Hall - Floor 1 - Station B,Station B in Floor 1 of Assembly Hall,Room,60,Assembly Hall,Floor 1,Station B,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
63,TF-FAC-002-ASS01-FLO01-STA03,Assembly Hall - Floor 1 - Station C,Station C in Floor 1 of Assembly Hall,Room,60,Assembly Hall,Floor 1,Station C,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
64,TF-FAC-002-ASS01-FLO01-FIN04,Assembly Hall - Floor 1 - Final Test,Final Test in Floor 1 of Assembly Hall,Room,60,Assembly Hall,Floor 1,Final Test,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
65,TF-FAC-002-ASS01-FLO01-PAC05,Assembly Hall - Floor 1 - Packaging,Packaging in Floor 1 of Assembly Hall,Room,60,Assembly Hall,Floor 1,Packaging,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
66,TF-FAC-002-ASS01-FLO02,Assembly Hall - Floor 2,Floor 2 of Assembly Hall,Floor,59,Assembly Hall,Floor 2,,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
67,TF-FAC-002-ASS01-FLO02-STA01,Assembly Hall - Floor 2 - Station A,Station A in Floor 2 of Assembly Hall,Room,66,Assembly Hall,Floor 2,Station A,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
68,TF-FAC-002-ASS01-FLO02-STA02,Assembly Hall - Floor 2 - Station B,Station B in Floor 2 of Assembly Hall,Room,66,Assembly Hall,Floor 2,Station B,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
69,TF-FAC-002-ASS01-FLO02-STA03,Assembly Hall - Floor 2 - Station C,Station C in Floor 2 of Assembly Hall,Room,66,Assembly Hall,Floor 2,Station C,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
70,TF-FAC-002-ASS01-FLO02-FIN04,Assembly Hall - Floor 2 - Final Test,Final Test in Floor 2 of Assembly Hall,Room,66,Assembly Hall,Floor 2,Final Test,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
71,TF-FAC-002-ASS01-FLO02-PAC05,Assembly Hall - Floor 2 - Packaging,Packaging in Floor 2 of Assembly Hall,Room,66,Assembly Hall,Floor 2,Packaging,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
72,TF-FAC-002-TES02,Testing Lab,Testing Lab at TechFlow Assembly & Testing Center,Building,58,Testing Lab,,,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
73,TF-FAC-002-TES02-FLO01,Testing Lab - Floor 1,Floor 1 of Testing Lab,Floor,72,Testing Lab,Floor 1,,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
74,TF-FAC-002-TES02-FLO01-ROO01,Testing Lab - Floor 1 - Room 101,Room 101 in Floor 1 of Testing Lab,Room,73,Testing Lab,Floor 1,Room 101,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
75,TF-FAC-002-TES02-FLO01-ROO02,Testing Lab - Floor 1 - Room 102,Room 102 in Floor 1 of Testing Lab,Room,73,Testing Lab,Floor 1,Room 102,"2100 Technology Dr, Austin, TX 78758",Austin,TX,78758,USA,,,,,,America/Chicago,2025-09-28 18:38:15
